Kernel: NormalizedPolyKernel, exponent: 0,910000, result: 0,699802
Kernel: NormalizedPolyKernel, exponent: 0,920000, result: 0,707463
Kernel: NormalizedPolyKernel, exponent: 0,930000, result: 0,706843
Kernel: NormalizedPolyKernel, exponent: 0,940000, result: 0,707364
Kernel: NormalizedPolyKernel, exponent: 0,950000, result: 0,704307
Kernel: NormalizedPolyKernel, exponent: 0,960000, result: 0,708073
Kernel: NormalizedPolyKernel, exponent: 0,970000, result: 0,707572
Kernel: NormalizedPolyKernel, exponent: 0,980000, result: 0,708497
Kernel: NormalizedPolyKernel, exponent: 0,990000, result: 0,705798
Kernel: NormalizedPolyKernel, exponent: 1,000000, result: 0,708501
Kernel: NormalizedPolyKernel, exponent: 1,010000, result: 0,705697
Kernel: NormalizedPolyKernel, exponent: 1,020000, result: 0,705982
Kernel: NormalizedPolyKernel, exponent: 1,030000, result: 0,705930
Kernel: NormalizedPolyKernel, exponent: 1,040000, result: 0,705003
Kernel: NormalizedPolyKernel, exponent: 1,050000, result: 0,707575
Kernel: NormalizedPolyKernel, exponent: 1,060000, result: 0,707575
Kernel: NormalizedPolyKernel, exponent: 1,070000, result: 0,709545
Kernel: NormalizedPolyKernel, exponent: 1,080000, result: 0,708553
Kernel: NormalizedPolyKernel, exponent: 1,090000, result: 0,709813
Kernel: NormalizedPolyKernel, exponent: 1,100000, result: 0,709740
Kernel: NormalizedPolyKernel, exponent: 1,110000, result: 0,706767
Kernel: NormalizedPolyKernel, exponent: 1,120000, result: 0,709621
Kernel: NormalizedPolyKernel, exponent: 1,130000, result: 0,710480
Kernel: NormalizedPolyKernel, exponent: 1,140000, result: 0,715475
Kernel: NormalizedPolyKernel, exponent: 1,150000, result: 0,718740
Kernel: NormalizedPolyKernel, exponent: 1,160000, result: 0,720068
Kernel: NormalizedPolyKernel, exponent: 1,170000, result: 0,723010
Kernel: NormalizedPolyKernel, exponent: 1,180000, result: 0,721678
Kernel: NormalizedPolyKernel, exponent: 1,190000, result: 0,724333
Kernel: NormalizedPolyKernel, exponent: 1,200000, result: 0,726905
Kernel: NormalizedPolyKernel, exponent: 1,210000, result: 0,726183
Kernel: NormalizedPolyKernel, exponent: 1,220000, result: 0,725239
Kernel: NormalizedPolyKernel, exponent: 1,230000, result: 0,729395
Kernel: NormalizedPolyKernel, exponent: 1,240000, result: 0,725239
Kernel: NormalizedPolyKernel, exponent: 1,250000, result: 0,725438
Kernel: NormalizedPolyKernel, exponent: 1,260000, result: 0,726371
Kernel: NormalizedPolyKernel, exponent: 1,270000, result: 0,727319
Kernel: NormalizedPolyKernel, exponent: 1,280000, result: 0,724365
Kernel: NormalizedPolyKernel, exponent: 1,290000, result: 0,725979
Kernel: NormalizedPolyKernel, exponent: 1,300000, result: 0,727573
Kernel: NormalizedPolyKernel, exponent: 1,310000, result: 0,726153
Kernel: NormalizedPolyKernel, exponent: 1,320000, result: 0,725073
Kernel: NormalizedPolyKernel, exponent: 1,330000, result: 0,725593
Kernel: NormalizedPolyKernel, exponent: 1,340000, result: 0,724652
Kernel: NormalizedPolyKernel, exponent: 1,350000, result: 0,726032
Kernel: NormalizedPolyKernel, exponent: 1,360000, result: 0,725593
Kernel: NormalizedPolyKernel, exponent: 1,370000, result: 0,726032
Kernel: NormalizedPolyKernel, exponent: 1,380000, result: 0,726032
Kernel: NormalizedPolyKernel, exponent: 1,390000, result: 0,726032
Kernel: NormalizedPolyKernel, exponent: 1,400000, result: 0,726032
Kernel: NormalizedPolyKernel, exponent: 1,410000, result: 0,726032
Kernel: NormalizedPolyKernel, exponent: 1,420000, result: 0,725593
Kernel: NormalizedPolyKernel, exponent: 1,430000, result: 0,723973
Kernel: NormalizedPolyKernel, exponent: 1,440000, result: 0,720969
Kernel: NormalizedPolyKernel, exponent: 1,450000, result: 0,721345
Kernel: NormalizedPolyKernel, exponent: 1,460000, result: 0,719950
Kernel: NormalizedPolyKernel, exponent: 1,470000, result: 0,721631
Kernel: NormalizedPolyKernel, exponent: 1,480000, result: 0,719973
Kernel: NormalizedPolyKernel, exponent: 1,490000, result: 0,720978
Best kernel: NormalizedPolyKernel, best exponent: 1,230000, achieved weighted f-measure: 0,729395
